,movie_id,mpaa
348,2810827,Rated PG for mild peril
349,2810918,Rated R for language and some gruesome creature violence
350,2811326,"Rated R for violence, disturbing images and language"
351,2811328,"Rated R for violence, disturbing images and language"
352,2811352,Rated PG for some mild language
353,2811528,"Rated R for violence, some torture, pervasive language, and some sexual content/nudity"
354,2811545,"Rated R for violence, language and some sexuality/nudity"
355,2811610,Rated R for violence and language
356,2811992,"Rated R for strong crude and sexual content throughout, language, some graphic nudity and brief drug use."
357,2812107,"Rated R for violence, language, drug use and some sexuality/nudity"
358,2812120,"Rated R for violence, language, sexual content and some drug use"
359,2812209,"Rated R for bloody comic horror violence, and for language and some sexual content"
360,2812215,"Rated R for sexual material, full frontal nudity, language throughout, and drug and alcohol content"
361,2812342,"Rated R for crude sexual content and language throughout, and some graphic nudity"
362,2812384,"Rated R for sexual content, nudity, language and some drug use"
363,2812466,"Rated R for crude and sexual content, language and brief nudity"
364,2813100,Rated PG-13 for sexual content and some language
365,2813513,"Rated PG-13 for sequences of fantasy action violence, some frightening images and sensuality"
366,2813521,"Rated PG-13 for brief strong language, some creature violence and mild sensuality"
367,2813595,"Rated R for language, violence and some sexuality/nudity"
368,2813682,Rated R for strong violence and pervasive language
369,2813773,"Rated R for bloody violence, some grisly images and language"
370,2814122,Rated PG-13 for some violence and language
371,2815432,Rated PG for brief language
372,2815714,Rated R for sexual content and language
373,2817060,"Rated R for violent content throughout, some involving minors"
374,2817423,"Rated R for some violence/disturbing images, drug use, language and brief nudity"
375,2817942,"Rated PG-13 for some sexual material, thematic elements and smoking"
376,2818131,Rated PG-13 for sexual material and language
377,2818516,Rated PG-13 for violence and brief sensuality
378,2818768,"Rated PG-13 for some sexual content including references, partial nudity, brief strong language and a scene of violence"
379,2819257,"Rated PG-13 on appeal for sexual material, teen drinking, language, drug references and some action violence"
380,2819415,Rated PG for rude humor
381,2819892,Rated PG-13 for terror and disturbing images
382,2819976,"Rated R for bloody violence, pervasive language and drug use"
383,2820819,"Rated R for strong horror violence and gore, sexual content/nudity, language and some drug use"
384,2820833,"Rated R for bloody brutal violence including sexual assault, language throughout, drug content and sexual material"
385,2820852,Rated R for language and sexual references throughout (MPA Rating: certificate #50589)
386,2820874,"Rated R for violence, language and some nudity"
387,2821284,Rated PG for some mild thematic material
388,2821381,"Rated PG - 13 for intense sequences of violence and action throughout, and some sensuality"
389,2821381,Rated R for sequences of violence (Ultimate Edition)
390,2821448,"Rated PG for action, suggestive material and rude humor"
391,2821471,Rated R for some bloody images and disturbing content
392,2821646,Rated R for language
393,2821731,Rated PG-13 for some violence
394,2821751,Rated R for some war violence and brief language
395,2821778,"Rated PG-13 for sustained and intense sequences of war violence and destruction, and for language"
396,2821907,Rated R for violence throughout and language
397,2821974,Rated PG-13 for language and some rude behavior
398,2822066,"Rated PG-13 for thematic elements involving some drug material, and for some language"
399,2822133,"Rated PG-13 for intense sequences of violence, action and destruction, and for language"
400,2822683,Rated PG-13 for some suggestive content and brief language
401,2823177,"Rated PG for thematic elements, some suggestive comments and mild language"
402,2823884,"Rated PG-13 for language including crude comments, brief violence and some thematic material (edited version)"
403,2823884,"Rated PG-13 for language including some crude comments, drug references and brief violence (original version)"
404,2823913,"Rated PG-13 for thematic material including child imperilment, some disturbing images, language and brief sensuality"
405,2824034,Rated PG-13 for some sexual content and language
406,2824272,Rated R for language
407,2824475,"Rated PG-13 for violence, scary images and some sexual material"
408,2824729,"Rated PG-13 for some drug use, unsettling images and brief strong language"
409,2824857,"Rated PG for some action violence, peril and frightening images"
410,2825535,Rated R for some drug content
411,2825762,"Rated R for strong violence including torture and rape, language, and some sexuality and nudity"
412,2826383,Rated R for some brutal violence and language
413,2826403,Rated PG-13 for violent content and terror including disturbing images
414,2826444,Rated R for sexual content/nudity and language
415,2826539,"Rated PG for thematic elements, some nude and suggestive art images, language and brief smoking"
416,2826654,Rated PG-13 for brief strong language and some suggestive content.
417,2826825,Rated R for language
418,2826980,"Rated R for crude sexual content and language throughout, some graphic nudity, and drug material"
419,2827982,"Rated PG for thematic elements throughout, some violent images, and language"
420,2828270,"Rated R for drug use, sexuality/nudity, and language throughout"
421,2828299,Rated PG for some mild language including a brief drug reference
422,2828311,"Rated R for language throughout, some sexual content, drug use, and brief nudity"
423,2828640,"Rated R for some strong sexuality, nudity and brief language"
424,2828668,"Rated R for bloody violence, language and some sexuality"
425,2828866,"Rated PG for thematic elements, language and smoking."
426,2828929,Rated PG-13 for some language.
427,2829223,"Rated PG for thematic elements, some language and brief smoking images"
428,2829405,"Rated R for disturbing violence, some strong sexuality, nudity, pervasive language and some drug use"
429,2829709,Rated R for language and some bloody violence
430,2830091,Rated PG-13 for sequences of violence and disturbing images
431,2830219,Rated PG-13 for some violence and a sexual reference
432,2830316,Rated R for some violence and language
433,2831650,Rated PG-13 for some violent images and brief strong language
434,2832325,"Rated PG-13 for thematic material, drug content, some sexuality and brief language"
435,2832349,"Rated R for strong crude and sexual content throughout, language, graphic nudity and drug use"
436,2832441,Rated R for some sexual content/nudity and language
437,2833444,Rated R for sexual content and graphic nudity throughout
438,2834075,Rated R for language including some sexual references
439,2834491,"Rated PG-13 for some violence, and brief strong language"
440,2834741,"Rated R for language, violence and brief drug use"
441,2834800,Rated PG for some action and mild rude humor
442,2834872,Rated PG for some thematic elements (2016)
443,2835017,"Rated PG-13 for mature thematic material, some violence and smoking"
444,2835112,"Rated PG-13 for sexual content including suggestive gestures, partial nudity, language and thematic elements"
445,2835130,"Rated PG for action, violence and some thematic elements"
446,2835209,Rated R for some violence
447,2835381,"Rated R for violence, language and brief nudity"
448,2837420,Rated PG-13 for sci-fi violence and gore
449,2838292,Rated PG-13 for thematic elements and brief strong language
450,2838363,"Rated PG - 13 for sequences of intense action and violence, and some language"
451,2838442,"Rated PG for action and peril, some rude humor, and thematic elements."
452,2838629,Rated PG for language
453,2838650,Rated PG-13 for some sexual humor and brief violence
454,2838683,"Rated R for violence, language and some sexuality/nudity"
455,2838974,Rated PG-13 for drug references and brief strong language
456,2838981,Rated PG - 13 for brief suggestive material
457,2838988,"Rated R for some sexuality, nudity and language"
458,2839555,Rated R For pervasive language and a brief sexual assault
459,2840186,Rated PG-13 for violence/warfare and some thematic elements
460,2840975,"Rated R for language throughout, some war violence, sexual content, and brief drug use"
461,2841037,Rated PG-13 for violence
462,2841408,"Rated R for pervasive crude and sexual content, language, some drug use and brief violence - all involving teens"
463,2841451,"Rated R for some violence, language and a sexual reference"
464,2841788,Rated R for bloody violent content
465,2842343,"Rated R for language throughout, some sexual content and brief violence"
466,2842407,Rated R for language and some violence
467,2842519,Rated R for violence and a scene of sexuality
468,2844480,Rated PG for mild thematic elements
469,2844844,"Rated PG for language including some sexual references, and for thematic material"
470,2845301,Rated R for violence
471,2845800,"Rated R for brutal violence, language throughout, some sexual references and brief drug use"
472,2845930,"Rated PG for thematic material, language and a menacing situation."
473,2846001,"Rated PG-13 on appeal for brief strong language, thematic material involving drug use and drinking, and for a fight (re-rating, certificate #48875)"
474,2846222,"Rated R for some strong violence, pervasive language, sexual references and brief graphic nudity"
475,2846304,"Rated R for language throughout, some graphic images and violence"
476,2846575,Rated PG for some language and rude humor
477,2846843,"Rated R for sexual content, language and some drug use - all involving teens"
478,2846892,"Rated R for bloody horror violence, grisly images, and language"
479,2846928,Rated PG-13 for mature thematic elements including disturbing and violent images
480,2846940,Rated R for violence and some language
481,2846985,"Rated R for bloody violence, language and brief nudity"
482,2847230,Rated R for violence and language
483,2847390,"Rated R for language, terror and some disturbing images"
484,2847541,Rated PG-13 for some violent content and sexuality
485,2847939,"Rated R for violence, language, drug use and some sexuality"
486,2848093,"Rated R for language, sexuality/nudity and some accident images"
487,2848191,"Rated PG-13 for crude and sexual content, and language"
488,2848216,Rated PG-13 for some violence and sexual references.
489,2849051,"Rated PG for action, mayhem and rude humor"
490,2849159,Rated PG for some rude humor
491,2849244,"Rated R for strong brutal violence, language, some drug use and nudity"
492,2850135,"Rated R for strong violence, language throughout and brief drug use"
493,2850151,"Rated R for violence, pervasive language, some sexual content and drug material."
494,2850311,"Rated R for bloody violence, language, drug content and some sexuality/nudity"
495,2850701,"Rated R for violence, pervasive language, some sexual content and brief drug use"
496,2850905,"Rated R for some violence, language and sexuality"
497,2850983,"Rated R for bloody violence, strong sexuality/nudity and language"
498,2851073,"Rated R for bloody violence, disturbing images, language and some sexual content/nudity"
499,2851757,"Rated R for crude and sexual content throughout, pervasive language and some violence"
500,2851818,Rated R for some sexual assaults
501,2851945,"Rated R for disturbing violent content, language and brief drug use."
502,2852188,"Rated PG-13 for mature thematic material, language and sexual content"
503,2852242,"Rated PG-13 for mature thematic material, sexuality, drug and alcohol content, and some language"
504,2852251,"Rated R for language, violence and brief nudity"
505,2852341,"Rated R for strong crude and sexual content, drug use and language throughout, and some graphic nudity."
506,2852460,"Rated R for strong bloody violence, and language"
